totalAssets,totalLiabilities,representativeId,date
38234445.45,2395779.01,2,12/31/16
45075433,6580612.2,2,12/31/17
42390414,4196271.47,2,12/31/18
68800000,0,3,12/31/16
69300000,0,3,12/31/17
71375000,0,3,12/31/18
11347542.89,6640000,4,12/31/16
14379826.93,6580000,4,12/31/17
22012922.68,6280000,4,12/31/18
10036200,2090000,8,12/31/16
10801200,2478000,8,12/31/17
10801200,1521000,8,12/31/18
16266487.45,6287000,9,12/31/17
16330487.45,6417000,9,12/31/18
227544431.6,7000000,11,12/31/16
259670400.6,0,11,12/31/17
261037538,697810.93,11,12/31/18
8248375,800000,13,12/31/16
8823375,1755000,13,12/31/17
8925375,1130500,13,12/31/18
37022726.23,9878302.76,17,12/31/16
45902211.73,6843567.5,17,12/31/18
19908000,3049104,18,12/31/16
91812576,5314389.66,19,12/31/16
96535925.2,4844784.86,19,12/31/17
96012576,4795117.32,19,12/31/18
29128031.78,313696,23,12/31/16
32170228.43,149044,23,12/31/17
38387272.05,0,23,12/31/18
12833266.48,5389127.68,26,12/31/16
133714749.4,10200000,28,12/31/17
135007456.5,10345875.29,28,12/31/18
9986600,4636738.77,32,12/31/16
9834600,4364573.99,32,12/31/17
15013200,9036586.94,32,12/31/18
85709553,14272932,34,12/31/16
64490000,18350000,39,12/31/16
73290000,26250000,39,12/31/17
74820000,25900000,39,12/31/18
24835000,5348464.53,44,12/31/16
27135000,2730000,44,12/31/18
21397708.88,3000000,45,12/31/16
19132900.22,0,45,12/31/17
20287886.12,0,45,12/31/18
20896600,9359868.86,50,12/31/16
24491600,10236985.81,50,12/31/17
27234037.16,8246869.75,50,12/31/18
69575000,29834000,52,12/31/16
62815000,22300000,52,12/31/17
63225000,19400000,52,12/31/18
143865711.8,0,53,12/31/16
426599667.2,0,53,12/31/17
426599667.2,0,53,12/31/18
3869000,3689982.29,54,12/31/16
3664062.04,3100616.85,54,12/31/17
4338858,3823199.28,54,12/31/18
514000,13000,56,12/31/16
524000,9340,56,12/31/17
528000,9340,56,12/31/18
19910236,606186,62,12/31/17
20,12367,62,12/31/18
19884042,0,63,12/31/16
22750042,1028732.25,63,12/31/17
24295042,653344.81,63,12/31/18
25459210,9243047,65,12/31/16
25594206,7674681,65,12/31/17
25740705,6500000,65,12/31/18
3896000,3116000,67,12/31/16
6696000,5621964.92,67,12/31/17
8646000,7130366,67,12/31/18
40302071.5,1083423.53,71,12/31/17
40782071.5,928646.74,71,12/31/18
1881652.31,977599.18,72,12/31/16
108821283.2,67405253,81,12/31/16
21492300,8950700,86,12/31/16
22501700,9341400,86,12/31/17
24245000,8524300,86,12/31/18
18387000,2086483,89,12/31/17
22693728.17,2440583.47,89,12/31/18
14057315,0,90,12/31/16
12070000,951436.83,91,12/31/17
13720000,619262.53,91,12/31/18
25567991.06,0,95,12/31/16
26067991.06,0,95,12/31/17
26514707.33,0,95,12/31/18
51065000,27796000,96,12/31/16
56865000,27727000,96,12/31/17
56865000,29657000,96,12/31/18
42735994,20706965,97,12/31/16
37845999,15903859,97,12/31/17
33421781,11579638,97,12/31/18
165874609.7,98527486,98,12/31/16
154288830,85544689,98,12/31/17
155464236,74594324,98,12/31/18
357950925.2,94484555,99,12/31/16
373461697.6,121500174.1,99,12/31/17
392434918.3,133718320.1,99,12/31/18
57744665,34302193,108,12/31/16
72313280,45544962,108,12/31/17
88052548,58481261,108,12/31/18
32114244,2270000,111,12/31/16
31809244,2137000,111,12/31/17
27009244,4769998.2,111,12/31/18
30493249.57,0,114,12/31/16
31086183.01,0,114,12/31/17
31205759.81,0,114,12/31/18
738000000,0,118,12/31/16
739000000,0,118,12/31/17
748000000,0,118,12/31/18
41400000,3000000,119,12/31/16
45200000,1600000,119,12/31/17
51980000,0,119,12/31/18
137814000,15000000,120,12/31/16
150814000,15000000,120,12/31/17
166314000,15000000,120,12/31/18
10619700,3619913.5,123,12/31/16
15500000,8000000,128,12/31/16
19425000,7000000,128,12/31/17
20425000,6000000,128,12/31/18
27479061.68,0,133,12/31/16
28144684.33,0,133,12/31/17
29437677.55,0,133,12/31/18
2818891.73,222911.18,134,12/31/16
2945621.55,34152.12,134,12/31/17
