billNumber,representativeId
HB00001,73
HB00001,179
HB00001,282
HB00002,73
HB00003,73
HB00004,73
HB00005,73
HB00006,73
HB00007,73
HB00008,73
HB00009,73
HB00010,73
HB00011,95
HB00012,95
HB00013,95
HB00014,95
HB00015,166
HB00016,95
HB00017,95
HB00018,95
HB00019,95
HB00020,95
HB00021,111
HB00022,111
HB00023,111
HB00024,111
HB00025,111
HB00026,111
HB00027,111
HB00028,111
HB00029,111
HB00031,49
HB00032,49
HB00033,49
HB00034,49
HB00035,49
HB00036,49
HB00037,49
HB00038,49
HB00039,49
HB00040,49
HB00057,301
HB00058,301
HB00059,16
HB00059,32
HB00059,33
HB00059,52
HB00059,54
HB00059,58
HB00059,61
HB00059,63
HB00059,64
HB00059,66
HB00059,79
HB00059,84
HB00059,86
HB00059,99
HB00059,105
HB00059,113
HB00059,128
HB00059,133
HB00059,135
HB00059,160
HB00059,164
HB00059,188
HB00059,201
HB00059,203
HB00059,207
HB00059,213
HB00059,215
HB00059,224
HB00059,225
HB00059,233
HB00059,237
HB00059,244
HB00059,252
HB00059,254
HB00059,256
HB00059,257
HB00059,281
HB00059,293
HB00059,297
HB00059,301
HB00060,301
HB00061,301
HB00062,301
HB00063,301
HB00064,301
HB00065,301
HB00066,301
HB00067,39
HB00068,39
HB00069,39
HB00070,39
HB00071,39
HB00072,39
HB00073,39
HB00074,39
HB00075,39
HB00078,49
HB00078,76
HB00078,93
HB00078,133
HB00078,233
HB00078,241
HB00078,256
HB00078,257
HB00078,301
HB00081,203
HB00081,244
HB00082,128
HB00083,128
HB00084,128
HB00085,79
HB00085,128
HB00086,128
HB00087,79
HB00087,128
HB00088,128
HB00089,79
HB00089,128
HB00094,302
HB00095,9
HB00096,9
HB00097,9
HB00098,9
HB00099,9
HB00100,166
HB00101,166
HB00102,166
HB00129,306
HB00130,306
HB00131,306
HB00132,306
HB00133,306
HB00134,229
HB00135,14
HB00135,217
HB00135,229
HB00135,243
HB00135,256
HB00135,264
HB00135,299
HB00136,229
HB00137,165
HB00137,201
HB00137,221
HB00137,228
HB00137,229
HB00137,232
HB00137,256
HB00137,264
HB00137,298
HB00138,229
HB00139,229
HB00140,229
HB00141,229
HB00142,229
HB00143,229
HB00144,184
HB00145,184
HB00146,184
HB00147,184
HB00148,184
HB00149,184
HB00150,184
HB00151,184
HB00152,184
HB00156,45
HB00157,45
HB00158,45
HB00159,12
HB00159,42
HB00159,45
HB00159,72
HB00159,78
HB00159,99
HB00159,103
HB00159,197
HB00159,210
HB00159,224
HB00159,264
HB00159,279
HB00159,300
HB00160,45
HB00161,45
HB00162,45
HB00163,45
HB00164,45
HB00165,45
HB00176,256
HB00176,257
HB00177,256
HB00177,257
HB00178,256
HB00178,257
HB00179,256
HB00179,257
HB00180,256
HB00180,257
HB00191,256
HB00191,257
HB00192,256
HB00192,257
HB00193,256
HB00193,257
HB00194,256
HB00195,256
HB00195,257
HB00196,256
HB00196,257
HB00197,256
HB00197,257
HB00198,256
HB00198,257
HB00209,219
HB00210,219
HB00211,219
HB00212,219
HB00213,219
HB00214,219
HB00215,219
HB00216,219
HB00217,219
HB00218,219
HB00219,56
HB00219,72
HB00219,127
HB00219,305
HB00220,56
HB00220,72
HB00220,127
HB00220,305
HB00221,56
HB00221,72
HB00221,127
HB00221,305
HB00222,56
HB00222,72
HB00222,127
HB00222,305
HB00223,56
HB00223,72
HB00223,127
HB00223,305
HB00224,56
HB00224,72
HB00224,127
HB00224,305
HB00225,56
HB00225,72
HB00225,127
HB00225,305
HB00226,56
HB00226,72
HB00226,127
HB00226,305
HB00227,56
HB00227,72
HB00227,127
HB00227,305
HB00228,56
HB00228,72
HB00228,127
HB00228,305
HB00229,287
HB00230,287
HB00231,287
HB00232,287
HB00233,287
HB00234,287
HB00235,287
HB00236,287
HB00237,287
HB00238,287
HB00239,56
HB00239,72
HB00239,127
HB00239,305
HB00240,56
HB00240,72
HB00240,127
HB00240,305
HB00241,127
HB00241,305
HB00242,56
HB00242,72
HB00242,127
HB00242,305
HB00243,56
HB00243,72
HB00243,127
HB00243,305
HB00244,127
HB00244,305
HB00245,127
HB00245,305
HB00246,56
HB00246,72
HB00246,127
HB00246,305
HB00247,56
HB00247,72
HB00247,127
HB00247,305
HB00248,56
HB00248,72
HB00248,127
HB00248,305
HB00249,127
HB00249,305
HB00250,56
HB00250,72
HB00250,127
HB00250,305
HB00251,56
HB00251,72
HB00251,127
HB00251,305
HB00252,56
HB00252,72
HB00252,127
HB00252,305
HB00253,56
HB00253,72
HB00253,127
HB00253,305
HB00254,56
HB00254,72
HB00254,127
HB00254,305
HB00255,56
HB00255,72
HB00255,127
HB00255,305
HB00256,127
HB00256,305
HB00257,56
HB00257,72
HB00257,127
HB00257,305
HB00258,127
HB00258,305
HB00269,14
HB00270,14
HB00271,14
HB00272,14
HB00273,14
HB00274,14
HB00275,14
HB00276,14
HB00277,14
HB00278,14
HB00284,256
HB00284,257
HB00285,256
HB00285,257
HB00286,256
HB00286,257
HB00287,256
HB00287,257
HB00288,256
HB00288,257
HB00289,256
HB00290,256
HB00291,256
HB00292,256
HB00293,256
HB00294,301
HB00295,301
HB00296,301
HB00297,301
HB00298,301
HB00299,301
HB00300,14
HB00300,33
HB00300,34
HB00300,49
HB00300,86
HB00300,93
HB00300,133
HB00300,135
HB00300,243
HB00300,256
HB00300,301
HB00301,301
HB00302,301
HB00303,301
HB00304,84
HB00304,133
HB00304,256
HB00304,257
HB00304,264
HB00309,32
HB00309,58
HB00309,61
HB00309,90
HB00309,105
HB00309,183
HB00309,210
HB00309,217
HB00309,244
HB00309,279
HB00309,295
HB00318,56
HB00318,72
HB00318,127
HB00318,305
HB00319,56
HB00319,72
HB00319,127
HB00319,305
HB00320,56
HB00320,72
HB00320,127
HB00320,305
HB00321,56
HB00321,72
HB00321,127
HB00321,305
HB00322,56
HB00322,72
HB00322,127
HB00322,305
HB00323,56
HB00323,72
HB00323,127
HB00323,305
HB00324,56
HB00324,72
HB00324,127
HB00324,305
HB00325,56
HB00325,72
HB00325,127
HB00325,305
HB00326,56
HB00326,72
HB00326,127
HB00326,305
HB00336,197
HB00337,197
HB00338,233
HB00339,233
HB00340,233
HB00341,233
HB00342,233
HB00343,233
HB00344,233
HB00345,41
HB00345,56
HB00345,85
HB00345,122
HB00345,210
HB00345,218
HB00345,233
HB00345,295
HB00346,233
HB00347,233
HB00348,99
HB00359,301
HB00360,301
HB00361,301
HB00362,301
HB00363,301
HB00364,301
HB00365,301
HB00366,301
HB00367,301
HB00368,301
HB00369,201
HB00370,201
HB00371,201
HB00372,201
HB00373,201
HB00374,201
HB00375,201
HB00376,201
HB00377,201
HB00395,108
HB00396,108
HB00397,108
HB00408,233
HB00409,233
HB00410,233
HB00411,233
HB00412,233
HB00413,233
HB00414,233
HB00415,233
HB00416,233
HB00417,233
HB00418,225
HB00419,228
HB00420,228
HB00421,228
HB00422,228
HB00423,228
HB00424,228
HB00425,228
HB00426,228
HB00427,228
HB00428,228
HB00429,228
HB00430,228
HB00431,228
HB00432,228
HB00433,228
HB00434,228
HB00435,228
HB00436,224
HB00437,224
HB00438,224
HB00439,224
HB00440,224
HB00441,224
HB00442,224
HB00443,224
HB00444,224
HB00445,224
HB00446,174
HB00447,174
HB00448,174
HB00449,174
HB00450,174
HB00451,174
HB00452,174
HB00453,174
HB00454,174
HB00455,174
HB00458,160
HB00459,160
HB00460,160
HB00461,160
HB00462,160
HB00463,160
HB00464,160
HB00465,160
HB00468,88
HB00468,105
HB00468,149
HB00469,88
HB00469,105
HB00469,149
HB00470,88
HB00470,105
HB00470,149
HB00471,88
HB00471,105
HB00471,149
HB00472,88
HB00472,105
HB00472,149
HB00473,88
HB00473,105
HB00473,149
HB00474,56
HB00474,72
HB00474,127
HB00474,305
HB00475,56
HB00475,72
HB00475,127
HB00475,305
HB00476,56
HB00476,72
HB00476,127
HB00476,305
HB00477,56
HB00477,72
HB00477,127
HB00477,305
HB00478,56
HB00478,72
HB00478,127
HB00478,305
HB00479,56
HB00479,72
HB00479,127
HB00479,305
HB00480,56
HB00480,72
HB00480,127
HB00480,305
HB00481,56
HB00481,72
HB00481,127
HB00482,56
HB00482,72
HB00482,127
HB00482,305
HB00483,96
HB00484,96
HB00485,96
HB00486,96
HB00487,96
HB00488,96
HB00489,96
HB00490,96
HB00491,96
HB00492,96
HB00493,95
HB00494,95
HB00495,95
HB00496,95
HB00497,95
HB00497,179
HB00497,282
HB00498,95
HB00499,39
HB00500,39
HB00501,39
HB00502,39
HB00503,39
HB00504,39
HB00505,39
HB00506,39
HB00507,39
HB00508,56
HB00508,72
HB00508,127
HB00508,305
HB00509,56
HB00509,72
HB00509,127
HB00509,305
HB00510,56
HB00510,72
HB00510,127
HB00510,305
HB00511,56
HB00511,72
HB00511,305
HB00512,56
HB00512,72
HB00512,127
HB00512,305
HB00513,56
HB00513,72
HB00513,127
HB00513,305
HB00514,229
HB00515,229
HB00516,229
HB00517,229
HB00518,14
HB00519,14
HB00520,14
HB00521,14
HB00522,14
HB00523,14
HB00524,14
HB00525,14
HB00526,14
HB00527,14
HB00528,210
HB00529,210
HB00530,210
HB00531,210
HB00532,210
HB00533,210
HB00534,210
HB00535,210
HB00536,210
HB00537,210
HB00538,59
HB00539,59
HB00540,59
HB00541,59
HB00542,107
HB00543,107
HB00544,107
HB00545,107
HB00546,49
HB00547,49
HB00548,49
HB00549,49
HB00550,49
HB00551,49
HB00552,49
HB00553,49
HB00554,49
HB00555,49
HB00556,3
HB00557,3
HB00558,3
HB00559,3
HB00560,3
HB00561,3
HB00562,3
HB00563,3
HB00564,3
HB00565,3
HB00566,134
HB00567,134
HB00568,134
HB00569,134
HB00570,134
HB00571,134
HB00572,134
HB00573,134
HB00574,134
HB00575,134
HB00576,226
HB00577,226
HB00578,226
HB00579,226
HB00580,226
HB00581,226
HB00582,226
HB00583,226
HB00584,182
HB00585,182
HB00586,182
HB00586,234
HB00586,302
HB00587,182
HB00588,182
HB00589,182
HB00590,182
HB00591,182
HB00592,182
HB00593,182
HB00594,252
HB00595,252
HB00596,252
HB00597,252
HB00598,252
HB00599,252
HB00602,7
HB00603,7
HB00604,7
HB00605,7
HB00606,7
HB00607,7
HB00608,7
HB00609,7
HB00610,7
HB00611,7
HB00612,287
HB00613,287
HB00614,287
HB00615,287
HB00616,287
HB00617,302
HB00618,81
HB00618,187
HB00619,187
HB00620,187
HB00621,187
HB00622,187
HB00623,187
HB00624,179
HB00624,187
HB00625,17
HB00626,17
HB00627,17
HB00628,17
HB00629,17
HB00630,17
HB00631,171
HB00632,171
HB00633,171
HB00634,171
HB00635,171
HB00636,171
HB00637,171
HB00638,49
HB00638,57
HB00638,141
HB00638,160
HB00638,171
HB00638,194
HB00638,234
HB00638,302
HB00639,171
HB00640,171
HB00641,264
HB00642,264
HB00643,264
HB00644,264
HB00645,264
HB00646,264
HB00647,264
HB00648,264
HB00649,264
HB00650,264
HB00661,241
HB00662,241
HB00663,241
HB00664,241
HB00665,241
HB00666,241
HB00667,241
HB00668,241
HB00669,241
HB00670,241
HB00676,300
HB00677,300
HB00678,300
HB00679,300
HB00680,300
HB00681,300
HB00682,300
HB00683,14
HB00684,14
HB00685,14
HB00686,14
HB00687,14
HB00688,14
HB00698,115
HB00699,49
HB00700,49
HB00701,49
HB00702,49
HB00703,49
HB00704,49
HB00705,49
HB00706,49
HB00707,49
HB00708,49
HB00709,45
HB00710,45
HB00711,45
HB00712,45
HB00713,45
HB00714,45
HB00727,156
HB00728,90
HB00729,90
HB00730,90
HB00731,90
HB00732,90
HB00733,90
HB00734,90
HB00735,90
HB00736,90
HB00737,49
HB00738,49
HB00739,49
HB00740,49
HB00741,49
HB00742,49
HB00743,49
HB00744,49
HB00745,49
HB00746,49
HB00752,49
HB00753,49
HB00754,49
HB00755,49
HB00756,49
HB00757,49
HB00758,49
HB00759,49
HB00760,49
HB00761,49
HB00762,49
HB00763,49
HB00764,49
HB00765,49
HB00766,49
HB00767,49
HB00768,49
HB00769,49
HB00770,49
HB00771,49
HB00781,49
HB00782,49
HB00783,49
HB00784,49
HB00785,49
HB00786,49
HB00787,49
HB00788,49
HB00789,49
HB00790,49
HB00791,49
HB00792,49
HB00793,49
HB00794,49
HB00795,49
HB00796,49
HB00797,49
HB00798,49
HB00799,49
HB00800,49
HB00810,20
HB00811,49
HB00812,49
HB00813,49
