billNumber,title,dateFiled,dateRead,dateUrgent,motherBillStatus,primaryReferralCommittee,status
HR01290,"Resolution Urging The Leadership Of The House Of Representatives To Immediately,Upgrade The Information And Communications Technology Service (Icts) Of The,House Of Representatives Into A Bureau-level Office,",10/14/20,10/15/20,,,ACCOUNTS,"Pending With The Committee On Accounts Since 2020-10-15,Hr01291"
HB00239,"An Act Instituting Genuine Agrarian Reform In The Country And Creating The,Mechanism For Its Implementation And For Other Purposes,",7/1/19,7/23/19,,,AGRARIAN REFORM,"Deliberated Upon By The Mother Committee On 2020-03-09,Hb00240"
HB00367,"An Act Expanding The Scope Of Agricultural Lands That Can Be Subject To Land,""Redistribution, Amending For The Purpose Republic Act No. 6657, Otherwise Known "",""As The ?Comprehensive Agrarian Reform Law Of 1988?, As Amended By Republic Act "",No. 9700,",7/1/19,7/23/19,,,AGRARIAN REFORM,"Deliberated Upon By The Mother Committee On 2021-01-27,Hb00368"
HB01045,"An Act Granting Full Insurance Coverage To All Qualified Agrarian Reform,""Beneficiaries Of The Comprehensive Agrarian Reform Program, Amending For The "",""Purpose Section 14 Of Republic Act No. 9700, Otherwise Known As The "",'Comprehensive Agrarian Reform Program Extension With Reforms',",7/2/19,7/24/19,,"Approved By The House On 2020-06-01, Transmitted To The "",Senate On 2020-06-03 And Received By The Senate On 2020-06-03,",AGRARIAN REFORM,"Substituted By Hb06505,Hb01046"
HB02743,"An Act Amending Certain Sections Of Republic Act Number Six Thousand Six Hundred,""Fifty Seven (R.A. 6657), As Amended, Otherwise Known A The ?Comprehensive "",""Agrarian Reform Law Of 1998?, And For Other Purposes"",",7/25/19,7/31/19,,,AGRARIAN REFORM,"Pending With The Committee On Agrarian Reform Since 2019-07-31,Hb02744"
HB02838,"""An Act Creating The National Agrarian Reform Adjudication Commission, Defining "",""Its Powers And Functions, And Appropriating Funds Therefor"",",7/25/19,7/31/19,,,AGRARIAN REFORM,"Pending With The Committee On Agrarian Reform Since 2019-07-31,Hb02839"
HB03029,"An Act Penalizing The Conversion Or Causing The Conversion Of Irrigated And,""Irrigable Lands, Amending For The Purpose Republic Act No. 6657, As Amended, "",Otherwise Known As The Comprehensive Agrarian Reform Law Of 1998,",7/29/19,8/5/19,,,AGRARIAN REFORM,"Pending With Rules (Included In Ob On 2020-01-21),Hb03030"
HB03434,"An Act Expediting The Titling Of Lands Awarded Under The Comprehensive Agrarian,""Reform Program, Lifting The Restrictions On The Utilization Of Such Lands As "",""Collateral For Securing Agricultural Loans,And Other Similar Financial "",""Instruments, And For Other Purposes"",",8/5/19,8/7/19,,,AGRARIAN REFORM,"Deliberated Upon By The Mother Committee On 2021-03-03,Hb03435"
HB03451,"An Act Authorizing The Grant Of A Full Crop Insurance Coverage To Qualified,Beneficiaries Of The Comprehensive Agrarian Reform Program Amending For The,""Purpose Section 14 Of Republic Act No. 9700, Otherwise Known As The "",Comprehensive Agrarian Reform Program Extension With Reforms,",8/5/19,8/7/19,,"Approved By The House On 2020-06-01, Transmitted To The "",Senate On 2020-06-03 And Received By The Senate On 2020-06-03,",AGRARIAN REFORM,"Substituted By Hb06505,Hb03452"
HB04360,"An Act Prohibiting The Conversion Of Irrigated And Irrigable Agricultural Lands,""For Non-agricultural Uses, Amending For The Purpose Section 20 Of Republic Act "",""No. 7160, Otherwise Known As The Local Government Code Of 1991"",",9/3/19,9/10/19,,,AGRARIAN REFORM,"Pending With The Committee On Agrarian Reform Since 2019-09-10,Hb04361"
