committee,jurisdiction,committeeOffice
ACCOUNTS,"All matters directly and principally relating to the internal,budget of the House including budget preparation, submission and approval,,disbur accounting, and financial operations.","Baseme South Wing Building, House of Represe Quezon City,"
AGRARIAN REFORM,"All matters directly and principally relating to agrarian reform,,the resettlement of and other support services for agrarian reform,beneficia and the implementation and amendment of the Comprehensive Reform Law.","3/F RVM Building, House of Represe Quezon City,"
AGRICULTURE AND FOOD,"All matters directly and principally relating to food and,agricultural production, agribusiness, agri-economics, agricultural research and,technology, agricultural education including extension services, soil,conservatio soil survey and research, irrigation, farm credit and security,,animal industry and quarantine, and crop and livestock production, insurance,,and guarantee programs.","3/F RVM Building, House of Represe Quezon City,"
APPROPRIATIONS,"All matters directly and principally relating to the expenditures,of the national government including payment of public indebtedness, creation or,abolition and classification of positions in government, and the determination,of salaries, allowances and benefits of government personnel.","2/F RVM Building, House of Represe Quezon City,"
AQUACULTURE AND FISHERIES RESOURCES,"All matters directly and principally relating to aquaculture and,fisheries production and development, the business of aquaculture, use of,aquatic resources, fresh water and fisheries culture research and technology,appl aquaculture and fisheries education and training including,extens services, conservation of streams, rivers, lakes and other fisheries,resour and fishpond and fisheries culture production and development,in related technical, financial and guarantee assistance programs.","3/F RVM Building, House of Represe Quezon City,"
BANKS AND FINANCIAL INTERMEDIARIES,"All matters directly and principally relating to banking and,currency, government-owned or controlled banks and financial institutions,,nongovernment banks and financial institutions, insurance, securities and,securities exchange.","3/F RVM Building, House of Represe Quezon City,"
BASIC EDUCATION AND CULTURE,"All matters directly and principally relating to pre-school,,kinderg elementary and secondary education, science high schools except,the Philippine Science High School System, teachers' and students' welfare,,alternat learning systems and community adult education, the national,langua libraries and museums, and the preservation and enrichment of Filipino,culture.","3/F RVM Building, House of Represe Quezon City,"
CIVIL SERVICE AND PROFESSIONAL REGULATION,"All matters directly and principally relating to the organization,,op management, rules and regulations of the civil service; the status,,welfare and benefits of government officers and employees; and the regulation of,admission to and the practice of professions.","3/F RVM Building, House of Represe Quezon City,"
CLIMATE CHANGE,"All matters directly and principally relating to policies,,progra strategies, practices, technologies and innovation addressing climate,change causes and impacts, including, but not limited to, avoidance and,reduction of greenhouse gas emissions, climate risk management to enhance,adapti capacity and reduce vulnerability to climate risks, all matters,relating to adaptation and mitigation to enhance resilience and to promote,sustain development, the country's compliance with relevant international,agr and cooperation with other countries.","3/F RVM Building, House of Represe Quezon City,"
CONSTITUTIONAL AMENDMENTS,"All matters directly and principally relating to amendments or,revisions of the Constitution.","3/F RVM Building, House of Represe Quezon City,"
COOPERATIVES DEVELOPMENT,"All matters directly and principally relating to cooperatives,in of cooperative movements and organizations; urban and rural-based,credit, consumer, producers, marketing, service and multi-purpose cooperatives;,electric cooperatives registered with the Cooperative Development Authority; and,the implementation or amendment of the Cooperative Code of the Philippines.","3/F RVM Building, House of Represe Quezon City,"
DANGEROUS DRUGS,"All matters directly and principally relating to illegal or,prohibited drugs, controlled precursors and essential chemicals, the production,,man use and trafficking thereof, as well as the rehabilitation and,treatment of drug dependents.","3/F RVM Building, House of Represe Quezon City,"
DISASTER RESILIENCE,"All matters directly and principally relating to disaster and,calamities, whether natural or man-made, as well as policies, plans, programs,and projects related to disaster risk and vulnerability reduction and management,in disaster preparedness and resiliency, relief and rescue, recovery,,rehabi and reconstruction.","3/F RVM Building, House of Represe Quezon City"
ECOLOGY,"All matters directly and principally relating to ecosystem,man including pollution control.","3/F RVM Building, House of Represe Quezon City,"
ECONOMIC AFFAIRS,"All matters directly and principally relating to economic,devel planning and programs inclusive of economic and socio-economic,studi and development policies and strategies.","3/F RVM Building, House of Represe Quezon City,"
ENERGY,"All matters directly and principally relating to the exploration,,dev utilization or conservation of energy resources, including the,developmen and utilization of alternative and renewable energy resources and,the entities involved in energy or power generation, transmission, distribution,and supply.","3/F RVM Building, House of Represe Quezon City,"
ETHICS AND PRIVILEGES,"All matters directly and principally relating to the duties,,conduct, rights, privileges and immunities, dignity, integrity and reputation of,the House and its Members.","3/F RVM Building, House of Represe Quezon City,"
FOREIGN AFFAIRS,"All matters directly and principally relating to the relations of,the Philippines with other countries, diplomatic and consular services, the,United Nations and its agencies, and other international organizations and,agencies.","3/F RVM Building, House of Represe Quezon City,"
GAMES AND AMUSEMENTS,"All matters directly and principally relating to all forms and,places of gaming and amusements.","3/F RVM Building, House of Represe Quezon City,"
GOOD GOVERNMENT AND PUBLIC ACCOUNTABILITY,"All matters directly and principally relating to malfeasance,,m and nonfeasance in office committed by officers and employees of the,government and its political subdivisions and instrumentalitie inclusive of,investigations of any matter of public interest on its own initiative or upon,order of the House.","3/F RVM Building, House of Represe Quezon City,"
GOVERNMENT ENTERPRISES AND PRIVATIZATION,"All matters directly and principally relating to the creation,,organi operation, reorganization and amendments of charters of,government-owned or controlled corporations including the Government Service,Insuran System, the Social Security System and similar institutions, but,excluding government-owned or controlled banks and financial institutions.","3/F RVM Building, House of Represe Quezon City,"
GOVERNMENT REORGANIZATION,"All matters directly and principally relating to the,reorganizati of the government or any of its branches, departments and,instrumenta excluding government-owned or controlled corporations, and,the creation, abolition or change of the principal functions or nature of any,government department, agency, commission or board.","3/F RVM Building, House of Represe Quezon City,"
HEALTH,"All matters directly and principally relating to public health and,hygiene, and quarantine, medical, hospital and other health facilities and,services.","3/F RVM Building, House of Represe Quezon City,"
HIGHER AND TECHNICAL EDUCATION,"All matters directly and principally relating to higher education,and post-secondary technical-vocational education, open distance learning,,studen and teachers' welfare, and centers of excellence and development.","3/F RVM Building, House of Represe Quezon City,"
HOUSING AND URBAN DEVELOPMENT,"All matters directly and principally relating to shelter delivery,includin services, agencies and instrumentalitie of government related,thereto, and the management of urbanization issues and concerns such as, among,others, urban planning and development, urban land reform and welfare of the,urban poor in the overall context of enhancing housing and shelter services,deliver","3/F RVM Building, House of Represe Quezon City,"
HUMAN RIGHTS,"All matters directly and principally relating to the protection,and enhancement of human rights, assistance to victims of human rights,violations and their families, the prevention of violations of human rights and,the punishment of perpetrators of such violations.","3/F RVM Buillding, House of Represe Quezon City,"
INDIGENOUS CULTURAL COMMUNITIES AND INDIGENOUS PEOPLES,"All matters directly and principally relating to indigenous,cult communities and indigenous peoples and the development of their,communiti","3/F RVM Building, House of Represe Quezon City,"
INFORMATION AND COMMUNICATIONS TECHNOLOGY,"All matters relating to postal, telegraph, radio, broadcast, cable,and satellite television, telephone, mobile cellular networks, convergence,,c and telecommunicat technologies including but not limited to,broadband access to wired and wireless connectivity to the internet such as,voice over internet protocol (VOIP), video conferencing, and audio/video/data,streaming; any and all other public and private electronic means of capturing,,proce storing and transmitting information for information technology;,information systems inclusive of hardware, software and content applications;,mobile short messaging system (SMS) applications affecting upstream and,downstrea business applications; and networks that enable access to online,technolo","3/F RVM Building, House of Represe Quezon City,"
