role,representativeId,committee
Chairperson,101,ACCOUNTS
Member_for_the_Majority,14,ACCOUNTS
Member_for_the_Minority,23,ACCOUNTS
Member_for_the_Majority,26,ACCOUNTS
Vice_Chairperson,39,ACCOUNTS
Member_for_the_Minority,54,ACCOUNTS
Member_for_the_Majority,63,ACCOUNTS
Member_for_the_Majority,66,ACCOUNTS
Member_for_the_Majority,78,ACCOUNTS
Member_for_the_Minority,80,ACCOUNTS
Member_for_the_Majority,83,ACCOUNTS
Member_for_the_Majority,96,ACCOUNTS
Member_for_the_Majority,98,ACCOUNTS
Member_for_the_Majority,103,ACCOUNTS
Member_for_the_Majority,109,ACCOUNTS
Member_for_the_Majority,120,ACCOUNTS
Member_for_the_Majority,121,ACCOUNTS
Member_for_the_Majority,124,ACCOUNTS
Member_for_the_Majority,136,ACCOUNTS
Member_for_the_Majority,145,ACCOUNTS
Vice_Chairperson,146,ACCOUNTS
Member_for_the_Majority,148,ACCOUNTS
Member_for_the_Majority,160,ACCOUNTS
Member_for_the_Majority,165,ACCOUNTS
Member_for_the_Majority,167,ACCOUNTS
Member_for_the_Majority,176,ACCOUNTS
Member_for_the_Majority,179,ACCOUNTS
Member_for_the_Majority,182,ACCOUNTS
Member_for_the_Majority,193,ACCOUNTS
Member_for_the_Majority,196,ACCOUNTS
Member_for_the_Majority,205,ACCOUNTS
Member_for_the_Majority,209,ACCOUNTS
Member_for_the_Majority,213,ACCOUNTS
Member_for_the_Majority,221,ACCOUNTS
Member_for_the_Majority,225,ACCOUNTS
Vice_Chairperson,227,ACCOUNTS
Vice_Chairperson,232,ACCOUNTS
Member_for_the_Majority,235,ACCOUNTS
Member_for_the_Majority,242,ACCOUNTS
Member_for_the_Majority,244,ACCOUNTS
Member_for_the_Minority,248,ACCOUNTS
Member_for_the_Majority,251,ACCOUNTS
Vice_Chairperson,252,ACCOUNTS
Vice_Chairperson,254,ACCOUNTS
Member_for_the_Majority,256,ACCOUNTS
Member_for_the_Majority,257,ACCOUNTS
Member_for_the_Majority,263,ACCOUNTS
Member_for_the_Majority,265,ACCOUNTS
Member_for_the_Majority,273,ACCOUNTS
Member_for_the_Majority,276,ACCOUNTS
Member_for_the_Majority,281,ACCOUNTS
Member_for_the_Majority,283,ACCOUNTS
Member_for_the_Majority,285,ACCOUNTS
Member_for_the_Majority,286,ACCOUNTS
Member_for_the_Majority,287,ACCOUNTS
Member_for_the_Majority,295,ACCOUNTS
Member_for_the_Majority,300,ACCOUNTS
Vice_Chairperson,302,ACCOUNTS
Vice_Chairperson,12,AGRARIAN REFORM
Member_for_the_Majority,16,AGRARIAN REFORM
Member_for_the_Minority,23,AGRARIAN REFORM
Member_for_the_Minority,59,AGRARIAN REFORM
Member_for_the_Majority,79,AGRARIAN REFORM
Member_for_the_Majority,98,AGRARIAN REFORM
Member_for_the_Majority,107,AGRARIAN REFORM
Vice_Chairperson,122,AGRARIAN REFORM
Member_for_the_Minority,123,AGRARIAN REFORM
Member_for_the_Majority,128,AGRARIAN REFORM
Vice_Chairperson,194,AGRARIAN REFORM
Member_for_the_Majority,229,AGRARIAN REFORM
Vice_Chairperson,255,AGRARIAN REFORM
Member_for_the_Majority,259,AGRARIAN REFORM
Member_for_the_Majority,295,AGRARIAN REFORM
Member_for_the_Majority,298,AGRARIAN REFORM
Chairperson,107,AGRICULTURE AND FOOD
Member_for_the_Majority,7,AGRICULTURE AND FOOD
Member_for_the_Minority,23,AGRICULTURE AND FOOD
Member_for_the_Majority,33,AGRICULTURE AND FOOD
Member_for_the_Majority,37,AGRICULTURE AND FOOD
Member_for_the_Majority,40,AGRICULTURE AND FOOD
Member_for_the_Majority,42,AGRICULTURE AND FOOD
Member_for_the_Majority,50,AGRICULTURE AND FOOD
Member_for_the_Minority,54,AGRICULTURE AND FOOD
Member_for_the_Minority,56,AGRICULTURE AND FOOD
Member_for_the_Minority,59,AGRICULTURE AND FOOD
Member_for_the_Majority,61,AGRICULTURE AND FOOD
Member_for_the_Majority,62,AGRICULTURE AND FOOD
Vice_Chairperson,65,AGRICULTURE AND FOOD
Member_for_the_Majority,67,AGRICULTURE AND FOOD
Member_for_the_Majority,78,AGRICULTURE AND FOOD
Vice_Chairperson,85,AGRICULTURE AND FOOD
Member_for_the_Minority,88,AGRICULTURE AND FOOD
Member_for_the_Majority,98,AGRICULTURE AND FOOD
Member_for_the_Majority,102,AGRICULTURE AND FOOD
Member_for_the_Majority,103,AGRICULTURE AND FOOD
Member_for_the_Majority,104,AGRICULTURE AND FOOD
Member_for_the_Majority,106,AGRICULTURE AND FOOD
Vice_Chairperson,116,AGRICULTURE AND FOOD
Member_for_the_Majority,121,AGRICULTURE AND FOOD
Member_for_the_Majority,122,AGRICULTURE AND FOOD
Member_for_the_Majority,133,AGRICULTURE AND FOOD
Member_for_the_Majority,134,AGRICULTURE AND FOOD
Member_for_the_Majority,145,AGRICULTURE AND FOOD
Member_for_the_Majority,157,AGRICULTURE AND FOOD
Member_for_the_Majority,164,AGRICULTURE AND FOOD
Vice_Chairperson,168,AGRICULTURE AND FOOD
Member_for_the_Majority,176,AGRICULTURE AND FOOD
Member_for_the_Majority,177,AGRICULTURE AND FOOD
Member_for_the_Majority,189,AGRICULTURE AND FOOD
Member_for_the_Majority,192,AGRICULTURE AND FOOD
Member_for_the_Majority,194,AGRICULTURE AND FOOD
Vice_Chairperson,196,AGRICULTURE AND FOOD
Member_for_the_Majority,218,AGRICULTURE AND FOOD
Member_for_the_Majority,229,AGRICULTURE AND FOOD
Member_for_the_Majority,235,AGRICULTURE AND FOOD
Member_for_the_Majority,236,AGRICULTURE AND FOOD
Member_for_the_Majority,237,AGRICULTURE AND FOOD
Member_for_the_Majority,238,AGRICULTURE AND FOOD
Member_for_the_Majority,243,AGRICULTURE AND FOOD
Member_for_the_Majority,247,AGRICULTURE AND FOOD
Member_for_the_Majority,251,AGRICULTURE AND FOOD
Member_for_the_Majority,252,AGRICULTURE AND FOOD
Vice_Chairperson,256,AGRICULTURE AND FOOD
Vice_Chairperson,259,AGRICULTURE AND FOOD
Member_for_the_Majority,265,AGRICULTURE AND FOOD
Member_for_the_Majority,268,AGRICULTURE AND FOOD
Member_for_the_Majority,284,AGRICULTURE AND FOOD
Member_for_the_Majority,286,AGRICULTURE AND FOOD
Member_for_the_Majority,288,AGRICULTURE AND FOOD
Member_for_the_Majority,292,AGRICULTURE AND FOOD
Member_for_the_Majority,295,AGRICULTURE AND FOOD
Vice_Chairperson,298,AGRICULTURE AND FOOD
Member_for_the_Majority,300,AGRICULTURE AND FOOD
Member_for_the_Majority,306,AGRICULTURE AND FOOD
Chairperson,302,APPROPRIATIONS
Member_for_the_Majority,5,APPROPRIATIONS
Member_for_the_Majority,6,APPROPRIATIONS
Member_for_the_Majority,12,APPROPRIATIONS
Member_for_the_Minority,23,APPROPRIATIONS
Member_for_the_Majority,40,APPROPRIATIONS
Member_for_the_Majority,42,APPROPRIATIONS
Vice_Chairperson,44,APPROPRIATIONS
Member_for_the_Majority,48,APPROPRIATIONS
Vice_Chairperson,49,APPROPRIATIONS
Member_for_the_Majority,51,APPROPRIATIONS
Member_for_the_Minority,54,APPROPRIATIONS
Member_for_the_Majority,55,APPROPRIATIONS
Member_for_the_Majority,57,APPROPRIATIONS
Member_for_the_Minority,59,APPROPRIATIONS
Member_for_the_Majority,61,APPROPRIATIONS
Vice_Chairperson,63,APPROPRIATIONS
Member_for_the_Majority,65,APPROPRIATIONS
Vice_Chairperson,66,APPROPRIATIONS
Member_for_the_Majority,68,APPROPRIATIONS
Member_for_the_Majority,69,APPROPRIATIONS
Member_for_the_Minority,72,APPROPRIATIONS
Member_for_the_Majority,75,APPROPRIATIONS
Member_for_the_Majority,78,APPROPRIATIONS
Member_for_the_Minority,80,APPROPRIATIONS
Vice_Chairperson,81,APPROPRIATIONS
Vice_Chairperson,84,APPROPRIATIONS
Vice_Chairperson,85,APPROPRIATIONS
Member_for_the_Minority,88,APPROPRIATIONS
Vice_Chairperson,89,APPROPRIATIONS
Member_for_the_Majority,90,APPROPRIATIONS
Member_for_the_Majority,91,APPROPRIATIONS
Member_for_the_Majority,96,APPROPRIATIONS
Member_for_the_Majority,97,APPROPRIATIONS
Member_for_the_Majority,98,APPROPRIATIONS
Vice_Chairperson,99,APPROPRIATIONS
Member_for_the_Majority,102,APPROPRIATIONS
Member_for_the_Majority,103,APPROPRIATIONS
Member_for_the_Majority,104,APPROPRIATIONS
Member_for_the_Majority,113,APPROPRIATIONS
Member_for_the_Majority,115,APPROPRIATIONS
Vice_Chairperson,116,APPROPRIATIONS
Member_for_the_Majority,124,APPROPRIATIONS
Vice_Chairperson,125,APPROPRIATIONS
Vice_Chairperson,134,APPROPRIATIONS
Vice_Chairperson,139,APPROPRIATIONS
Member_for_the_Majority,140,APPROPRIATIONS
Vice_Chairperson,141,APPROPRIATIONS
Member_for_the_Majority,145,APPROPRIATIONS
Member_for_the_Majority,146,APPROPRIATIONS
Member_for_the_Majority,148,APPROPRIATIONS
Member_for_the_Minority,149,APPROPRIATIONS
Vice_Chairperson,150,APPROPRIATIONS
Vice_Chairperson,156,APPROPRIATIONS
Member_for_the_Majority,157,APPROPRIATIONS
Member_for_the_Majority,162,APPROPRIATIONS
Member_for_the_Majority,163,APPROPRIATIONS
Member_for_the_Majority,167,APPROPRIATIONS
Vice_Chairperson,173,APPROPRIATIONS
Member_for_the_Majority,174,APPROPRIATIONS
Vice_Chairperson,180,APPROPRIATIONS
Member_for_the_Majority,186,APPROPRIATIONS
Vice_Chairperson,193,APPROPRIATIONS
Member_for_the_Majority,194,APPROPRIATIONS
Member_for_the_Majority,203,APPROPRIATIONS
Member_for_the_Majority,205,APPROPRIATIONS
Member_for_the_Majority,207,APPROPRIATIONS
Member_for_the_Majority,218,APPROPRIATIONS
Member_for_the_Majority,224,APPROPRIATIONS
Vice_Chairperson,225,APPROPRIATIONS
Member_for_the_Majority,229,APPROPRIATIONS
Member_for_the_Majority,236,APPROPRIATIONS
Vice_Chairperson,237,APPROPRIATIONS
Member_for_the_Majority,240,APPROPRIATIONS
